Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.0013774104683195593,0.0013774104683195593,39.994732033355874,7.6162101670622455,76.08856558799744,43.279393876111854
Prompt-based,0,0.8953168044077136,0.8953168044077136,27.60225271055003,9.24395059298131,80.55372834205627,60.1116820652505
Prompt-based,1,0.8562901744719926,0.8567493112947658,29.045405753939573,8.975171448219786,79.93186712265015,57.72578213426707
Prompt-based,2,0.0,0.0,33.49871278305527,4.559415820033632,28.848278522491455,11.449019299895138
Prompt-based,3,0.6868686868686869,0.6868686868686869,31.282511529817995,8.36963830280958,76.76221132278442,52.39252056168619
Prompt-based,4,0.6473829201101928,0.6473829201101928,31.94596839589221,8.34777982982607,76.42195224761963,51.086264343609386
Prompt-based,5,0.6652892561983471,0.6652892561983471,31.8183989422991,8.383855494743095,77.10341811180115,51.558740179207106
Prompt-based,6,0.8057851239669421,0.8062442607897153,29.977828549469205,8.879898734873859,79.19175624847412,56.37869220069552
Prompt-based,7,0.6753902662993572,0.6753902662993572,31.553231004663996,8.466112076544267,77.1293580532074,52.401378173634406
Prompt-based,8,0.7029384756657484,0.7029384756657484,31.286461007797296,8.487008741300595,77.58459448814392,52.76464013863364
Prompt-based,9,0.6056014692378329,0.6056014692378329,32.32171831850416,8.236392954356848,75.49737691879272,49.68511907856193
Prompt-based,10,0.7956841138659321,0.7956841138659321,30.382476449706488,8.791427243164275,79.27853465080261,55.66283390899452
