Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.4123048668503214,0.41368227731864093,36.890775250984554,8.415262287620624,77.79439091682434,61.13157926204168
Prompt-based,0,0.9325068870523416,0.9357208448117539,26.948600377968223,9.485544527051676,80.88950514793396,59.32420390091155
Prompt-based,1,0.8957759412304866,0.8999081726354453,27.2792210584303,9.39937911435316,80.51735758781433,58.4078962207884
Prompt-based,2,0.0,0.0,18.758245295530195,9.665397669430423,15.462884306907654,28.971911972793322
Prompt-based,3,0.0,0.0,27.45170744742028,14.532063352462135,55.60072660446167,38.36179005663942
Prompt-based,4,0.0,0.0,26.98212124233578,12.720733259663803,64.41956162452698,24.6100780116567
Prompt-based,5,0.0,0.0,28.02929118197939,12.267147863232413,63.78055810928345,33.31109278966739
Prompt-based,6,0.0,0.0,26.9861409192569,10.746870733767818,63.65032196044922,23.977594911447333
Prompt-based,7,0.7791551882460973,0.7819100091827365,30.0360356345854,8.969787932490405,78.94544005393982,54.54466620271387
Prompt-based,8,0.0,0.0,29.425185651900097,16.386657857159882,38.95694613456726,12.424669577843442
Prompt-based,9,0.0,0.0,27.13489652122638,11.043041222133606,63.16826939582825,30.84537701770045
Prompt-based,10,0.8709825528007347,0.8737373737373737,28.224138629687218,9.27477187001865,80.03578782081604,57.35396644919959
