Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.3971533516988062,0.3971533516988062,37.06780453701405,8.65932481688634,77.76902318000793,60.96582235608715
Prompt-based,0,0.017447199265381085,0.018824609733700644,23.07540261106354,8.93767824410487,17.978738248348236,56.812454996534235
Prompt-based,1,0.09228650137741047,0.09228650137741047,27.633701282447007,8.124409697212148,28.987538814544678,59.724155766653155
Prompt-based,2,0.0,0.0,17.704802514860003,3.422299404143388,-1.1091887019574642,55.63420028879118
Prompt-based,3,0.020202020202020204,0.020202020202020204,21.388265753299066,5.5090985541877515,9.74225178360939,65.54050135276105
Prompt-based,4,0.010560146923783287,0.010560146923783287,21.59117121422511,6.266731515983476,5.3897425532341,57.3574246852747
Prompt-based,5,0.05555555555555555,0.05555555555555555,25.662997782840833,6.473200780316713,20.65424472093582,58.89379955388232
Prompt-based,6,0.0018365472910927456,0.0018365472910927456,19.24722386228589,4.098829061529088,5.413152277469635,61.333295292140726
Prompt-based,7,0.0004591368227731864,0.0004591368227731864,19.742741065715567,6.611305763372229,8.709974586963654,61.78107231341948
Prompt-based,8,0.06014692378328742,0.06014692378328742,28.311975865657672,8.30515375859294,27.337059378623962,57.04229421040854
Prompt-based,9,0.04040404040404041,0.04040404040404041,22.7238174498232,6.27420315958058,12.085486203432083,59.99148084893613
Prompt-based,10,0.019742883379247015,0.019742883379247015,22.07676934188451,7.40675236389432,9.912052750587463,58.53982241720463
