Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.0,0.128099173553719,39.16589030795623,6.996956321619432,65.22471308708191,61.52918115535168
Prompt-based,0,0.0,0.07208448117539026,35.22786809881122,3.7332565807348708,51.039934158325195,46.05704043747957
Prompt-based,1,0.0,0.14003673094582186,35.598596357842496,7.045925028318539,58.26835632324219,50.90552088219011
Prompt-based,2,0.0,0.0,22.728374354173507,8.189875163640512,9.345261752605438,44.044751553176695
Prompt-based,3,0.0,0.01790633608815427,29.953739647315867,4.847850395464665,21.860317885875702,47.15229640403467
Prompt-based,4,0.0,0.016069788797061526,30.653127664100122,7.200906982115836,14.46494460105896,30.02511348530853
Prompt-based,5,0.0,0.011937557392102846,33.53196495204873,7.767648361340591,28.926321864128113,30.17205899480046
Prompt-based,6,0.0,0.03397612488521579,33.89588800782966,7.377867286606641,29.33627963066101,36.398936321118605
Prompt-based,7,0.0,0.05417814508723599,35.233688839934324,5.9481769312148955,47.03204333782196,39.647200403997765
Prompt-based,8,0.0,0.07024793388429752,35.04438053024757,5.454787992900858,38.10961842536926,36.04393754199185
Prompt-based,9,0.0,0.024793388429752067,32.65198786900215,6.243047625795882,25.749576091766357,48.159025611431964
Prompt-based,10,0.0,0.0440771349862259,34.85290227571547,7.78077736501568,43.842703104019165,42.713529679653384
