Mode,Prompt#,Identical ratio,Identical ratio (ci),SARI,FKGL,BERTScore,LENS
Fine-tuned,0,0.30899908172635443,0.31129476584022037,37.509618423927826,8.139737579430225,76.6972541809082,56.96879091356823
Prompt-based,0,0.3213957759412305,0.3278236914600551,33.6336406847224,7.578676602792687,73.81237149238586,50.34786644518375
Prompt-based,1,0.07621671258034894,0.07621671258034894,26.50151155358269,1.9715262435543472,8.138249814510345,13.773735180929982
Prompt-based,2,0.0,0.0,17.75595427929747,1.3479042208669973,-13.605475425720215,2.227158910922759
Prompt-based,3,0.0,0.0,16.363260619301407,0.0,-15.380041301250458,0.22424809281569477
Prompt-based,4,0.10606060606060606,0.10743801652892562,30.346389720471382,5.699053893613097,21.683591604232788,23.47152264624721
Prompt-based,5,0.08539944903581267,0.08677685950413223,26.8954684448537,4.631502552881781,8.331824839115143,14.115253632654065
Prompt-based,6,0.0,0.0,17.144982575793403,0.0,-13.790205121040344,0.6243206459193071
Prompt-based,7,0.049127640036730945,0.051423324150596875,25.870505059211283,2.169181820352552,5.5309053510427475,12.276831224932131
Prompt-based,8,0.0004591368227731864,0.0004591368227731864,16.616333680355705,0.0,-15.44770747423172,0.28598283159785864
Prompt-based,9,0.020202020202020204,0.02295684113865932,30.866568295513492,6.940758583836203,17.854702472686768,30.71767654869293
Prompt-based,10,0.08402203856749312,0.08402203856749312,26.915947089438248,3.0534681742992937,14.386896789073944,18.506735139973
